case_id,archive_path,bytes,sha256
real_news_000001,audio/mimo_v25_tts_p1p2_200/raw/real_news_000001.wav,2273324,aa4edb6cd455bebcf1633242e3065269dfb81e778f5eef620cff1456bf2b50ec
real_news_000002,audio/mimo_v25_tts_p1p2_200/raw/real_news_000002.wav,4485164,305e77e11af70622a7b2f7a18d61193260c9ae665d57caf8ee5e5255247d0a12
real_news_000003,audio/mimo_v25_tts_p1p2_200/raw/real_news_000003.wav,2196524,1bf3742dec2d3f80d711d4bf4117bdf357ff6f7706defee8b8af699c6f242a00
real_news_000004,audio/mimo_v25_tts_p1p2_200/raw/real_news_000004.wav,2396204,ca5ca42bf0b20f2231ba7e73fd1298b512e0de4731200bba602fb32738f08627
real_news_000005,audio/mimo_v25_tts_p1p2_200/raw/real_news_000005.wav,2618924,416164e731e46bae9bb7cb0de9b00fde767b52f7964e50b3b25fe76469667f71
real_news_000006,audio/mimo_v25_tts_p1p2_200/raw/real_news_000006.wav,2641964,675a88b87343253fd2025bba24f1323d151f4d3e091da9550d8bf4ebe84e1a3a
real_news_000007,audio/mimo_v25_tts_p1p2_200/raw/real_news_000007.wav,2542124,c77ff6bc48fa8abe31b94a359f669be9f3588f1061ef1d8361db6096deb81671
real_news_000008,audio/mimo_v25_tts_p1p2_200/raw/real_news_000008.wav,2880044,311c5dfa9f946958fb5d706b53b00ca7ffc27884494fb92cfad9294720eb4358
real_news_000009,audio/mimo_v25_tts_p1p2_200/raw/real_news_000009.wav,2257964,86727f702f3fb248eb5dba22fc183cc474d44d6c0262f57aa02d5c10c909638c
real_news_000011,audio/mimo_v25_tts_p1p2_200/raw/real_news_000011.wav,2096684,a53f0d5c0945ce4baadca3f3d787f0849833c34ee2b6d1a34b29d2d50f55fcaa
real_news_000012,audio/mimo_v25_tts_p1p2_200/raw/real_news_000012.wav,1743404,bfdde25bcdaa0bc4a2f9d2a72503d62c2ceb1bb4159b7a1a05264424cc3b6c3a
real_news_000013,audio/mimo_v25_tts_p1p2_200/raw/real_news_000013.wav,2165804,a44fb3a6e34b972a2d28b13d6a093f24c03e95e6419aaef3c42ecb04ea78c6fa
real_news_000014,audio/mimo_v25_tts_p1p2_200/raw/real_news_000014.wav,2319404,db6713176f869b6092b6cd22b7c9bd38201a48a7c2da4c99f32d0a2c5dd20e03
real_news_000015,audio/mimo_v25_tts_p1p2_200/raw/real_news_000015.wav,3064364,d029071ae41661c6e5e88fcdfe598201a2f501542f369c66a4ae9af4b37b1c19
real_news_000016,audio/mimo_v25_tts_p1p2_200/raw/real_news_000016.wav,2557484,35749f1f68762ac23e97998a959d664169056d1ae987c30e45f2b20d20121259
real_news_000017,audio/mimo_v25_tts_p1p2_200/raw/real_news_000017.wav,2211884,9673c085741956464c99d94a5473d30532b1399418bd0f420a61c764638e3f20
real_news_000018,audio/mimo_v25_tts_p1p2_200/raw/real_news_000018.wav,2165804,fb820fe9f278c32be2464cba346040b2bcdfc087b23b3b6cb73f19149127cdfc
real_news_000019,audio/mimo_v25_tts_p1p2_200/raw/real_news_000019.wav,1973804,218b5ac867efa65183635cae8ec629f634a212763d2f30003c297d077c009058
real_news_000020,audio/mimo_v25_tts_p1p2_200/raw/real_news_000020.wav,2695724,137f677ec303a746e7fe8bd4d5513aaee7bfc65eb4e336d8531336b931ae5bfc
real_news_000022,audio/mimo_v25_tts_p1p2_200/raw/real_news_000022.wav,2196524,b506e1c2c640615383834e7ffe18639c65b8d59bd650a64d6b1bc8adc38aba73
real_news_000023,audio/mimo_v25_tts_p1p2_200/raw/real_news_000023.wav,2227244,55e202e66b124d6f0891b0e4cbd1f444a86325769be2fd91415ce092573bf9b9
real_news_000024,audio/mimo_v25_tts_p1p2_200/raw/real_news_000024.wav,3133484,d3a93d447f9eeb377c62836c6d4687e254867fdc2d56ab8189bc0865d4807147
real_news_000025,audio/mimo_v25_tts_p1p2_200/raw/real_news_000025.wav,2542124,044a881f022588b96aa956aa02500aca5a033307bc6d16468510d9b6002ea1ee
real_news_000026,audio/mimo_v25_tts_p1p2_200/raw/real_news_000026.wav,1758764,b5d807ba4600284c4884f11deef967fb439ab9870a69277d3f2ca0743b72c958
real_news_000027,audio/mimo_v25_tts_p1p2_200/raw/real_news_000027.wav,2089004,3e6316cf0fb014ddd5983ebf709a0daf3e4d0bc1da9185856a8da84c87aa29b5
real_news_000031,audio/mimo_v25_tts_p1p2_200/raw/real_news_000031.wav,2327084,d620f7b38b978c6bf9361cb26171453e090fa71e92527862dfa68293a421083e
real_news_000033,audio/mimo_v25_tts_p1p2_200/raw/real_news_000033.wav,2534444,4947d0b8b89beb198d9a675f0c857ec29f79130c88ed6bbf8a7e8d90f3ae62b2
real_news_000037,audio/mimo_v25_tts_p1p2_200/raw/real_news_000037.wav,2257964,d2dee98d67589f9be4a75bace0663511e5dede69e00cfec28e556ea33dc45aaf
real_news_000041,audio/mimo_v25_tts_p1p2_200/raw/real_news_000041.wav,1643564,b5663e3e9cb649a5e95fc0c7e81f4502f10c190ef277d5d9df94b2998412dbe2
real_news_000042,audio/mimo_v25_tts_p1p2_200/raw/real_news_000042.wav,1973804,65c5552f785541cf1d0e1987d77dbf9e421148f6ec0750066d58542ae3a1e3e1
real_news_000049,audio/mimo_v25_tts_p1p2_200/raw/real_news_000049.wav,2473004,96581f43c502a06b637b4aae9fd6486c355241797fc8c06ace4a73ffee2d9126
real_news_000056,audio/mimo_v25_tts_p1p2_200/raw/real_news_000056.wav,2457644,413113a20f8b1152290c4f8e3eb53281190b7d29bd6270492822554419dfcf43
real_news_000057,audio/mimo_v25_tts_p1p2_200/raw/real_news_000057.wav,1850924,a86dded57b37388dfca9e0baa53194530f70b2dea017da0a15d32a1fb52ee577
real_news_000058,audio/mimo_v25_tts_p1p2_200/raw/real_news_000058.wav,2488364,9b063b551e402767e8096e78b94315370a84d82999e81fcf57b90d10cbcee727
real_news_000064,audio/mimo_v25_tts_p1p2_200/raw/real_news_000064.wav,2519084,c9499130d136fedd72748ec5fc4291d93ed6e67e24f4dfc457c3598cb05de5ee
real_news_000065,audio/mimo_v25_tts_p1p2_200/raw/real_news_000065.wav,2480684,5665172dd76dbcf3baab181484d6d5329da7d4d8b3cf941567296c1ad3cca37f
real_news_000077,audio/mimo_v25_tts_p1p2_200/raw/real_news_000077.wav,1827884,664ea5bcd2496e3009fab22cb7b0f52ee524d694ee1001031a697d04f8624d22
real_news_000079,audio/mimo_v25_tts_p1p2_200/raw/real_news_000079.wav,2411564,8b18937c40cab5da41d1cfce8ff4962a1f105962c05488080ed11e169aceee9e
real_news_000087,audio/mimo_v25_tts_p1p2_200/raw/real_news_000087.wav,2311724,1d1e32679644c435b46530baf79970c4d50d9e7c27fa82de5293c619e6a25a55
real_news_000096,audio/mimo_v25_tts_p1p2_200/raw/real_news_000096.wav,2250284,4db8371d59db1962a6c425778a5e8a9526899eba14a55e119b117c361818f77d
real_news_000103,audio/mimo_v25_tts_p1p2_200/raw/real_news_000103.wav,2688044,72f526966b5908565b1610e0b87876d3ce41e6862d2047357583b01e5a5642d8
real_news_000105,audio/mimo_v25_tts_p1p2_200/raw/real_news_000105.wav,2880044,27ac2fc9d5bf459664f73a25987e7541a6b4e4196de71abd844d5cad69b77fee
real_news_000125,audio/mimo_v25_tts_p1p2_200/raw/real_news_000125.wav,2265644,04a2684b0d5f2ea2286abd70353796b3885458161ae27869993dbe42ccc0e61b
real_news_000128,audio/mimo_v25_tts_p1p2_200/raw/real_news_000128.wav,2081324,9c3fe93c969fe0c9b59d3b5805f2efb5f396d0e06082852c2ab229caa22bbfbd
real_news_000139,audio/mimo_v25_tts_p1p2_200/raw/real_news_000139.wav,2442284,09b80bfa73f692c2df0dfcf97b44b4f7099dcef3e4e3bbbf5ba73652e32db4ab
real_news_000140,audio/mimo_v25_tts_p1p2_200/raw/real_news_000140.wav,1735724,c4bd1dca529a5c8a625086f52d448cfeb882d18d94e473abba03926b0acd619f
real_news_000141,audio/mimo_v25_tts_p1p2_200/raw/real_news_000141.wav,2142764,f9d216b669897df93808f9e29357bc6b83282ce1007195c943facb3ace87ab35
real_news_000147,audio/mimo_v25_tts_p1p2_200/raw/real_news_000147.wav,3440684,9ea52f0631fc26c676572ce6c3dac697762f727b00dfe0b0b2e3ec4eb6c35ad5
