cdrd_label,pipeline,n_cases,human_mean,asr_mean,asr_human_gap,availability
overall,raw,196,0.8866,0.6121,0.2745,measured
overall,prompt,,,,,no_human_labels
overall,polynorm,,,,,no_human_labels
overall,structured,196,0.9493,0.7826,0.1667,measured
cdrd_entity,raw,85,0.7887,0.5697,0.219,measured
cdrd_entity,prompt,,,,,no_human_labels
cdrd_entity,polynorm,,,,,no_human_labels
cdrd_entity,structured,85,0.9146,0.7582,0.1564,measured
cdrd_polyphone,raw,35,0.9914,0.7333,0.2582,measured
cdrd_polyphone,prompt,,,,,no_human_labels
cdrd_polyphone,polynorm,,,,,no_human_labels
cdrd_polyphone,structured,35,0.9854,0.8211,0.1644,measured
non_cdrd,raw,76,0.9479,0.6038,0.3441,measured
non_cdrd,prompt,,,,,no_human_labels
non_cdrd,polynorm,,,,,no_human_labels
non_cdrd,structured,76,0.9715,0.7922,0.1793,measured
